Collection,Parent Field,Field Name,Data Type,Description,Format/Example,Constraints
reports,,reportType,String,ประเภทรายงาน,"product, shop",Required; Enum
reports,,productId,ObjectId,สินค้าที่ถูกรายงาน,Product _id,Ref Product; Default null
reports,,productOwnerId,ObjectId,เจ้าของสินค้า,User _id,Ref User; Default null
reports,,productName,String,ชื่อสินค้า,iPhone 13,"Default: """""
reports,,productCategory,String,หมวดสินค้า,อิเล็กทรอนิกส์,"Default: """""
reports,,productImageUrl,String,รูปสินค้า,/uploads/p1.jpg,"Default: """""
reports,,shopId,ObjectId,ร้านที่ถูกรายงาน,Shop _id,Ref Shop; Default null
reports,,shopOwnerId,ObjectId,เจ้าของร้าน,User _id,Ref User; Default null
reports,,shopName,String,ชื่อร้าน,ร้านค้ามือขาย,"Default: """""
reports,,shopAvatarUrl,String,รูปร้าน,/uploads/shop-1.jpg,"Default: """""
reports,,reporterId,ObjectId,ผู้รายงาน,User _id,Required; Ref User
reports,,reporterName,String,ชื่อผู้รายงาน,Kiki Bibi,"Default: """""
reports,,reason,String,เหตุผลที่รายงาน,ขายของผิดกฎ,Required
reports,,source,String,หน้าต้นทางที่รายงาน,product_detail,"Default: """""
reports,,status,String,สถานะรายงาน,"open, dismissed, taken_down","Enum; Default: open"
reports,,resolvedAt,Date,วันที่ปิดเคส,2026-03-31T12:00:00Z,Default null
reports,,resolutionNote,String,หมายเหตุการปิดเคส,Removed by admin,"Default: """""
reports,,createdAt,Date,วันที่สร้างรายงาน,2026-03-31T10:00:00Z,Auto Timestamp
reports,,updatedAt,Date,วันที่แก้ไขล่าสุด,2026-03-31T10:30:00Z,Auto Timestamp
notifications,,_id,ObjectId,รหัสแจ้งเตือน,6618...,Primary Key
notifications,,user,ObjectId,ผู้รับแจ้งเตือน,User _id,Required; Indexed; Ref User
notifications,,type,String,ประเภทแจ้งเตือน,"order_created, kyc_updated",Required; Indexed
notifications,,title,String,หัวข้อแจ้งเตือน,ร้านค้าได้ส่งพัสดุแล้ว,Required
notifications,,message,String,รายละเอียดแจ้งเตือน,เลขพัสดุ 123456,"Default: """""
notifications,,target,Mixed/Object,เป้าหมายปลายทางของแจ้งเตือน,"{ route: ""orders"", params: {} }",Default object
notifications,,metadata,Mixed/Object,ข้อมูลเสริมสำหรับระบบ,"{ orderId: ""..."" }",Default object
notifications,,readAt,Date,วันที่อ่านแจ้งเตือน,2026-03-31T10:00:00Z,Default null; Indexed
notifications,,createdAt,Date,วันที่สร้างข้อมูล,2026-03-31T10:00:00Z,Auto Timestamp
notifications,,updatedAt,Date,วันที่แก้ไขล่าสุด,2026-03-31T10:30:00Z,Auto Timestamp
categories,,_id,ObjectId,รหัสหมวดหมู่,6619...,Primary Key
categories,,name,String,ชื่อหมวดหมู่,หนังสือ,Required; Unique; Trim
categories,,description,String,คำอธิบายหมวดหมู่,หนังสือทั่วไป,"Default: """""
categories,,createdAt,Date,วันที่สร้างข้อมูล,2026-03-31T10:00:00Z,Auto Timestamp
categories,,updatedAt,Date,วันที่แก้ไขล่าสุด,2026-03-31T10:30:00Z,Auto Timestamp
